id,beds,baths,size,furnish,area_1,area_2,area_3,area_4,area_5,id,description,referral,price,type,rent,postDate
3338,2,3,"1,200",No,UAE,Dubai,Dubai Marina,NULL,NULL,3338,12 Chqs | Spinneys Around | Wow Equipped Kitchen | Maintenance Free,I-ALFR-1BR-B,"AED 39,999 /yr",apartment,Monthly,"September 23rd, 2020"
3339,1,1,816,No,UAE,Dubai,The Greens,Al Thayyal,NULL,3339,BRAND NEW-12CHQS | 30DAYS FREE | FULLY FURNISHED 1BR,LAYAM-JVC-923,"AED 48,000 /yr",apartment,Monthly,"September 23rd, 2020"
3340,NULL,1,520,Yes,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 11,NULL,3340,Best Price Ever / Executive  Studio with balcony in Spirit,1272-Ap-R-0048,"AED 23,000 with Balcony ",apartment,Quarterly,"September 23rd, 2020"
3341,2,3,"1,472",No,UAE,Dubai,Business Bay,Churchill Towers,NULL,3341,2 bedrooms apartment with spacious balcony and boulevard view in hayat boulevard,1811-Ap-R-0003,"AED 46,000 /yr",apartment,NULL,"September 21st, 2020"
3342,NULL,1,480,No,UAE,Dubai,JLT Jumeirah Lake Towers,NULL,NULL,3342,"MH-85K IN 1 CHEQS , BEAUTIFULL 3 BED WITH MAID ROOM FOR RENT IN JBR, SADAF 8 ,",1779-Ap-R-0097,"AED 85,000 /yr",apartment,Yearly,"September 23rd, 2020"
3343,2,3,"1,360",No,UAE,Dubai,Jumeirah,Jumeirah 1,NULL,3343,Community view | Pets allowed | Amazing amenities,1598360425,"AED 25,222 /yr",apartment,Monthly,"September 23rd, 2020"
3344,2,3,"1,200",No,UAE,Dubai,JVC Jumeirah Village Circle,Jeewar Tower,NULL,3344,12 Cheques! Marina View! Sea View!,RENT015646,"AED 115,000 /yr",apartment,NULL,"September 23rd, 2020"
3345,NULL,1,570,No,UAE,Dubai,JVC Jumeirah Village Circle,Tuscan Residences,NULL,3345,NEW KITCHEN APPLIANCES | PAY MONTHLY | AC FREE,AZCO-JVC-AR-JW-1BR-7813,"AED 40,000 /yr",apartment,Monthly,"September 23rd, 2020"
3346,1,2,800,No,UAE,Dubai,Al Warqaa,Al Warqaa 1,NULL,3346,NEW BUILDING| CHILLER FREE | BRAND NEW FURNITURES | READY TO MOVE IN,AZCO-ARJAN-SJ-RD-STD-8413,"AED 27,999 /yr",apartment,Quarterly,"September 23rd, 2020"
3347,1,1,850,No,UAE,Dubai,Al Warqaa,Al Warqaa 2,NULL,3347,Urgent Rent 1 BR | Fully Furnished | Covered Parking,580-Ap-R-0607,"AED 34,999 /yr",apartment,Monthly,"September 22nd, 2020"
3348,NULL,1,480,Yes,UAE,Dubai,JLT Jumeirah Lake Towers,NULL,NULL,3348,Brand New | Furnished | Prime Location | Only 26k,AZCO-ALM-STARZ-5510,"AED 26,000 /yr",apartment,Yearly,"September 23rd, 2020"
3349,1,2,919,No,UAE,Dubai,Arjan,Siraj Tower,NULL,3349,"Deal of the day 2 bed in JBR, Sea View, Call Now",aras-R-2126350,"AED 85,000 /yr",apartment,Biyearly,"September 23rd, 2020"
3350,1,1,785,No,UAE,Dubai,Muhaisnah,Muhaisnah 4,NULL,3350,HOT OFFER II 2 BHK II  RENT II  ARY MARINA @65K,MAR-ARYMARINA,"AED 64,999 /yr",apartment,Yearly,"September 23rd, 2020"
3351,3,3,"2,018",Yes,UAE,Dubai,Dubai Marina,Dorra Bay,NULL,3351,1MTH FREE | LARGE BALCONY | SEMI-FURNISHED,KBC-JVC3-923,"AED 19,999 /yr",apartment,Yearly,"September 23rd, 2020"
3352,2,3,"1,444",No,UAE,Dubai,Dubai Marina,Dorra Bay,NULL,3352,Spacious 2 BHK for Rent  Near Al Mina Street,1377-Ap-R-0519,"AED 60,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3353,2,3,"1,405",No,UAE,Dubai,The Views,Arno,NULL,3353,Sea View| Unfurnished| Free Chiller | Vacant,BHM-R-64835,"AED 85,000 /yr",apartment,Yearly,"September 23rd, 2020"
3354,2,2,"1,000",No,UAE,Dubai,NSHAMA Town Square,Zahra Breeze Apartments,NULL,3354,1MTH FREE | SEMI-FURNISHED STD,KBC-JVC5-923,"AED 19,999 /yr",apartment,Yearly,"September 23rd, 2020"
3355,1,2,667,No,UAE,Dubai,NSHAMA Town Square,Safi,NULL,3355,Fully Furnished| Ready to move| Brand New,678-Ap-R-1387,"AED 28,000 /yr",apartment,NULL,"September 22nd, 2020"
3356,2,2,"1,350",No,UAE,Dubai,Downtown Dubai,The Lofts,NULL,3356,FULLY FURNISHED STUDIO IN ELITE 6@21K,Mar10el6,"AED 21,000 /yr",apartment,Quarterly,"September 23rd, 2020"
3357,1,1,650,No,UAE,Dubai,JVC Jumeirah Village Circle,JVC District 15,NULL,3357,Luxurious Apartment | Upgraded Unit | Best Deal!,FAR/GIOVANNI/2BR,"AED 50,000 /yr",apartment,NULL,"September 23rd, 2020"
